Participant,Trial,Condition,Correctness,SerPos,Modality,RT1,RT2,RT3,SwitchCon,Switch,TypedTime,SpokenTime,SwitchTime,Prestime,SumRT,SumGlobRT,missing,SumPrestime,CLlocal,CLglobal,check,SP2,SP3,SP4,SP5,SPlinear,SPquad,Glob1,Glob2,Glob3,Local1,Local2,Local1retro,Local1pro,Local2retro,Local2pro
1,1,2,1,1,1,0.725,0.679,0.677,5,0,0.9776,0.67,0.293,2.9328,2.081,10.235,1,14.3272,0.709560829,0.714375454,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,1,0,0,0
1,1,2,1,2,2, , , ,1,1,0.9776,0.67,0.293,2.303, ,10.235,1,14.3272, ,0.714375454,0,1,0,0,0,-0.316,-0.267,1,1,0,1,0,0,0,0,0
1,1,2,0,3,1,0.73,0.589,0.741,2,1,0.9776,0.67,0.293,3.2258,2.06,10.235,1,14.3272,0.638601277,0.714375454,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,1,0,0
1,1,2,1,4,1,0.705,0.664,0.585,4,0,0.9776,0.67,0.293,2.9328,1.954,10.235,1,14.3272,0.666257501,0.714375454,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,1,2,1,5,1,0.842,0.646,0.605,4,0,0.9776,0.67,0.293,2.9328,2.093,10.235,1,14.3272,0.713652482,0.714375454,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,2,12,1,1,2,0.793,0.691,0.566,1,0,0.9776,0.67,0.293,2.01,2.05,8.15,0,10.05,1.019900498,0.810945274,0,0,0,0,0,-0.632,0.535,0,0,0,0,0,0,0,0,0
1,2,12,0,2,2,0.691,0.51,0.605,3,0,0.9776,0.67,0.293,2.01,1.806,8.15,0,10.05,0.898507463,0.810945274,0,1,0,0,0,-0.316,-0.267,0,0,0,0,0,0,0,0,0
1,2,12,0,3,2,0.695,0.441,0.435,3,0,0.9776,0.67,0.293,2.01,1.571,8.15,0,10.05,0.78159204,0.810945274,0,0,1,0,0,0,-0.535,0,0,0,0,0,0,0,0,0
1,2,12,0,4,2,0.641,0.431,0.381,3,0,0.9776,0.67,0.293,2.01,1.453,8.15,0,10.05,0.722885572,0.810945274,0,0,0,1,0,0.316,-0.267,0,0,0,0,0,0,0,0,0
1,2,12,1,5,2,0.473,0.359,0.438,3,0,0.9776,0.67,0.293,2.01,1.27,8.15,0,10.05,0.631840796,0.810945274,0,0,0,0,1,0.632,0.535,0,0,0,0,0,0,0,0,0
1,3,1,1,1,2,0.689,0.583,0.489,3,0,0.9776,0.67,0.293,2.01,1.761,10.336,0,14.0342,0.876119403,0.736486583,0,0,0,0,0,-0.632,0.535,1,1,0,1,0,0,0,0,0
1,3,1,1,2,1,0.957,0.661,0.697,2,1,0.9776,0.67,0.293,3.2258,2.315,10.336,0,14.0342,0.717651435,0.736486583,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,1,0,0
1,3,1,1,3,1,0.932,0.736,0.579,4,0,0.9776,0.67,0.293,2.9328,2.247,10.336,0,14.0342,0.766162029,0.736486583,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,0,0,0
1,3,1,1,4,1,0.775,0.682,0.641,4,0,0.9776,0.67,0.293,2.9328,2.098,10.336,0,14.0342,0.715357338,0.736486583,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,3,1,1,5,1,0.782,0.587,0.546,4,0,0.9776,0.67,0.293,2.9328,1.915,10.336,0,14.0342,0.652959629,0.736486583,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,4,2,1,1,1,0.754,0.597,0.711,4,0,0.9776,0.67,0.293,2.9328,2.062,10.375,0,14.3272,0.703082379,0.724147077,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,1,0,0,0
1,4,2,1,2,2,0.9,0.737,0.607,1,1,0.9776,0.67,0.293,2.303,2.244,10.375,0,14.3272,0.974381242,0.724147077,0,1,0,0,0,-0.316,-0.267,1,1,0,1,0,0,0,0,0
1,4,2,0,3,1,0.855,0.637,0.595,2,1,0.9776,0.67,0.293,3.2258,2.087,10.375,0,14.3272,0.646971294,0.724147077,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,1,0,0
1,4,2,0,4,1,0.675,0.557,0.632,4,0,0.9776,0.67,0.293,2.9328,1.864,10.375,0,14.3272,0.635570104,0.724147077,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,4,2,1,5,1,0.657,0.732,0.729,4,0,0.9776,0.67,0.293,2.9328,2.118,10.375,0,14.3272,0.722176759,0.724147077,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,5,11,1,1,1,0.715,0.597,0.671,4,0,0.9776,0.67,0.293,2.9328,1.983,10.333,0,14.664,0.676145663,0.704650846,0,0,0,0,0,-0.632,0.535,1,0,0,0,0,0,0,0,0
1,5,11,1,2,1,0.751,0.71,0.63,4,0,0.9776,0.67,0.293,2.9328,2.091,10.333,0,14.664,0.71297054,0.704650846,0,1,0,0,0,-0.316,-0.267,1,0,0,0,0,0,0,0,0
1,5,11,1,3,1,0.71,0.592,0.821,4,0,0.9776,0.67,0.293,2.9328,2.123,10.333,0,14.664,0.723881615,0.704650846,0,0,1,0,0,0,-0.535,1,0,0,0,0,0,0,0,0
1,5,11,1,4,1,0.707,0.589,0.78,4,0,0.9776,0.67,0.293,2.9328,2.076,10.333,0,14.664,0.707855974,0.704650846,0,0,0,1,0,0.316,-0.267,1,0,0,0,0,0,0,0,0
1,5,11,1,5,1,0.689,0.687,0.684,4,0,0.9776,0.67,0.293,2.9328,2.06,10.333,0,14.664,0.702400436,0.704650846,0,0,0,0,1,0.632,0.535,1,0,0,0,0,0,0,0,0
1,6,4,1,1,1,0.831,0.558,0.633,4,0,0.9776,0.67,0.293,2.9328,2.022,10.594,0,14.3272,0.689443535,0.739432687,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,6,4,1,2,1,0.906,0.71,0.785,4,0,0.9776,0.67,0.293,2.9328,2.401,10.594,0,14.3272,0.818671577,0.739432687,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,0,0,0
1,6,4,1,3,1,0.671,0.746,0.666,4,0,0.9776,0.67,0.293,2.9328,2.083,10.594,0,14.3272,0.710242771,0.739432687,0,0,1,0,0,0,-0.535,1,1,0,0,0,1,0,0,0
1,6,4,0,4,2,0.675,0.706,0.571,1,1,0.9776,0.67,0.293,2.303,1.952,10.594,0,14.3272,0.8475901,0.739432687,0,0,0,1,0,0.316,-0.267,1,1,0,1,0,0,0,0,0
1,6,4,0,5,1,0.833,0.614,0.689,2,1,0.9776,0.67,0.293,3.2258,2.136,10.594,0,14.3272,0.662161324,0.739432687,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,1,0,0
1,7,2,1,1,1,0.741,0.661,0.658,4,0,0.9776,0.67,0.293,2.9328,2.06,9.944,0,14.3272,0.702400436,0.694064437,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,1,0,0,0
1,7,2,1,2,2,0.679,0.683, ,1,1,0.9776,0.67,0.293,2.303,1.362,9.944,0,14.3272,0.591402518,0.694064437,0,1,0,0,0,-0.316,-0.267,1,1,0,1,0,0,0,0,0
1,7,2,1,3,1,0.978,0.586,0.622,2,1,0.9776,0.67,0.293,3.2258,2.186,9.944,0,14.3272,0.677661355,0.694064437,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,1,0,0
1,7,2,1,4,1,0.663,0.7,0.697,4,0,0.9776,0.67,0.293,2.9328,2.06,9.944,0,14.3272,0.702400436,0.694064437,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,7,2,1,5,1,0.761,0.836,0.679,4,0,0.9776,0.67,0.293,2.9328,2.276,9.944,0,14.3272,0.776050191,0.694064437,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,8,7,1,1,2,0.678,0.673, ,1,0,0.9776,0.67,0.293,2.01,1.351,9.2275,3,11.5588,0.672139303,0.798309513,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,1,0
1,8,7,1,2,1,0.978,0.702,0.66,2,1,0.9776,0.67,0.293,3.2258,2.34,9.2275,3,11.5588,0.725401451,0.798309513,0,1,0,0,0,-0.316,-0.267,0,0,1,0,1,0,0,0,0
1,8,7,1,3,2, , , ,1,1,0.9776,0.67,0.293,2.303, ,9.2275,3,11.5588, ,0.798309513,0,0,1,0,0,0,-0.535,0,0,1,0,0,0,0,0,1
1,8,7,1,4,2, , , ,3,0,0.9776,0.67,0.293,2.01, ,9.2275,3,11.5588, ,0.798309513,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,0,0
1,8,7,1,5,2, , , ,3,0,0.9776,0.67,0.293,2.01, ,9.2275,3,11.5588, ,0.798309513,0,0,0,0,1,0.632,0.535,0,0,1,0,0,0,0,0,0
1,9,3,1,1,1,0.978,0.615,0.535,2,0,0.9776,0.67,0.293,2.9328,2.128,10.198,0,14.3272,0.72558647,0.711792953,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,9,3,1,2,1,0.653,0.749,0.592,4,0,0.9776,0.67,0.293,2.9328,1.994,10.198,0,14.3272,0.679896345,0.711792953,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,1,0,0,0
1,9,3,1,3,2,0.691,0.672,0.56,1,1,0.9776,0.67,0.293,2.303,1.923,10.198,0,14.3272,0.834997829,0.711792953,0,0,1,0,0,0,-0.535,1,1,0,1,0,0,0,0,0
1,9,3,1,4,1,0.852,0.634,0.708,2,1,0.9776,0.67,0.293,3.2258,2.194,10.198,0,14.3272,0.68014136,0.711792953,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,1,0,0
1,9,3,1,5,1,0.81,0.537,0.612,4,0,0.9776,0.67,0.293,2.9328,1.959,10.198,0,14.3272,0.667962357,0.711792953,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,10,12,1,1,2,0.672,0.676,0.514,1,0,0.9776,0.67,0.293,2.01,1.862,7.168,0,10.05,0.926368159,0.713233831,0,0,0,0,0,-0.632,0.535,0,0,0,0,0,0,0,0,0
1,10,12,1,2,2,0.615,0.439,0.413,3,0,0.9776,0.67,0.293,2.01,1.467,7.168,0,10.05,0.729850746,0.713233831,0,1,0,0,0,-0.316,-0.267,0,0,0,0,0,0,0,0,0
1,10,12,1,3,2,0.561,0.368,0.297,3,0,0.9776,0.67,0.293,2.01,1.226,7.168,0,10.05,0.609950249,0.713233831,0,0,1,0,0,0,-0.535,0,0,0,0,0,0,0,0,0
1,10,12,1,4,2,0.411,0.388,0.334,3,0,0.9776,0.67,0.293,2.01,1.133,7.168,0,10.05,0.563681592,0.713233831,0,0,0,1,0,0.316,-0.267,0,0,0,0,0,0,0,0,0
1,10,12,1,5,2,0.456,0.489,0.535,3,0,0.9776,0.67,0.293,2.01,1.48,7.168,0,10.05,0.736318408,0.713233831,0,0,0,0,1,0.632,0.535,0,0,0,0,0,0,0,0,0
1,11,4,1,1,1,0.676,0.558,0.555,2,0,0.9776,0.67,0.293,2.9328,1.789,7.989,0,14.3272,0.609997272,0.557610699,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,11,4,0,2,1,0.558,0.403,0.633,4,0,0.9776,0.67,0.293,2.9328,1.594,7.989,0,14.3272,0.543507911,0.557610699,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,0,0,0
1,11,4,1,3,1,0.519,0.632,0.668,4,0,0.9776,0.67,0.293,2.9328,1.819,7.989,0,14.3272,0.620226405,0.557610699,0,0,1,0,0,0,-0.535,1,1,0,0,0,1,0,0,0
1,11,4,1,4,2, ,0.569, ,1,1,0.9776,0.67,0.293,2.303,0.569,7.989,0,14.3272,0.24706904,0.557610699,0,0,0,1,0,0.316,-0.267,1,1,0,1,0,0,0,0,0
1,11,4,1,5,1,0.95,0.577,0.691,2,1,0.9776,0.67,0.293,3.2258,2.218,7.989,0,14.3272,0.687581375,0.557610699,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,1,0,0
1,12,5,1,1,1,0.676,0.713,0.633,4,0,0.9776,0.67,0.293,2.9328,2.022,8.912,0,14.0342,0.689443535,0.635020165,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,12,5,1,2,1,0.556,0.632,0.629,4,0,0.9776,0.67,0.293,2.9328,1.817,8.912,0,14.0342,0.619544463,0.635020165,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,0,0,0
1,12,5,1,3,1,0.708,0.513,0.588,4,0,0.9776,0.67,0.293,2.9328,1.809,8.912,0,14.0342,0.616816694,0.635020165,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,0,0,0
1,12,5,1,4,1,0.551,0.51,0.546,4,0,0.9776,0.67,0.293,2.9328,1.607,8.912,0,14.0342,0.547940535,0.635020165,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,1,0,0,0
1,12,5,1,5,2,0.662,0.539,0.456,1,1,0.9776,0.67,0.293,2.303,1.657,8.912,0,14.0342,0.719496309,0.635020165,0,0,0,0,1,0.632,0.535,1,1,0,1,0,0,0,0,0
1,13,1,1,1,2,0.683,0.505,0.459,3,0,0.9776,0.67,0.293,2.01,1.647,9.834,0,14.0342,0.819402985,0.70071682,0,0,0,0,0,-0.632,0.535,1,1,0,1,0,0,0,0,0
